timestamp;value
2015-01-26 00:00:00;86.0
2015-01-26 00:15:00;100.0
2015-01-26 00:30:00;60.0
2015-01-26 00:45:00;82.0
2015-01-26 01:00:00;90.0
2015-01-26 01:15:00;74.0
2015-01-26 01:30:00;92.0
2015-01-26 01:45:00;78.0
2015-01-26 02:00:00;112.0
2015-01-26 02:15:00;72.0
2015-01-26 02:30:00;88.0
2015-01-26 02:45:00;106.0
2015-01-26 03:00:00;96.0
2015-01-26 03:15:00;96.0
2015-01-26 03:30:00;92.0
2015-01-26 03:45:00;106.0
2015-01-26 04:00:00;116.0
2015-01-26 04:15:00;112.0
2015-01-26 04:30:00;118.0
2015-01-26 04:45:00;76.0
2015-01-26 05:00:00;62.0
2015-01-26 05:15:00;94.0
2015-01-26 05:30:00;96.0
2015-01-26 05:45:00;114.0
2015-01-26 06:00:00;126.0
2015-01-26 06:15:00;126.0
2015-01-26 06:30:00;124.0
2015-01-26 06:45:00;158.0
2015-01-26 07:00:00;164.0
2015-01-26 07:15:00;184.0
2015-01-26 07:30:00;164.0
2015-01-26 07:45:00;190.0
2015-01-26 08:00:00;186.0
2015-01-26 08:15:00;204.0
2015-01-26 08:30:00;190.0
2015-01-26 08:45:00;176.0
2015-01-26 09:00:00;184.0
2015-01-26 09:15:00;190.0
2015-01-26 09:30:00;172.0
2015-01-26 09:45:00;198.0
2015-01-26 10:00:00;184.0
2015-01-26 10:15:00;206.0
2015-01-26 10:30:00;192.0
2015-01-26 10:45:00;182.0
2015-01-26 11:00:00;192.0
2015-01-26 11:15:00;202.0
2015-01-26 11:30:00;214.0
2015-01-26 11:45:00;206.0
2015-01-26 12:00:00;194.0
2015-01-26 12:15:00;172.0
2015-01-26 12:30:00;186.0
2015-01-26 12:45:00;198.0
2015-01-26 13:00:00;178.0
2015-01-26 13:15:00;174.0
2015-01-26 13:30:00;194.0
2015-01-26 13:45:00;188.0
2015-01-26 14:00:00;186.0
2015-01-26 14:15:00;184.0
2015-01-26 14:30:00;192.0
2015-01-26 14:45:00;190.0
2015-01-26 15:00:00;214.0
2015-01-26 15:15:00;192.0
2015-01-26 15:30:00;174.0
2015-01-26 15:45:00;180.0
2015-01-26 16:00:00;174.0
2015-01-26 16:15:00;168.0
2015-01-26 16:30:00;156.0
2015-01-26 16:45:00;158.0
2015-01-26 17:00:00;180.0
2015-01-26 17:15:00;178.0
2015-01-26 17:30:00;162.0
2015-01-26 17:45:00;170.0
2015-01-26 18:00:00;156.0
2015-01-26 18:15:00;154.0
2015-01-26 18:30:00;160.0
2015-01-26 18:45:00;172.0
2015-01-26 19:00:00;166.0
2015-01-26 19:15:00;176.0
2015-01-26 19:30:00;174.0
2015-01-26 19:45:00;150.0
2015-01-26 20:00:00;164.0
2015-01-26 20:15:00;158.0
2015-01-26 20:30:00;140.0
2015-01-26 20:45:00;144.0
2015-01-26 21:00:00;124.0
2015-01-26 21:15:00;154.0
2015-01-26 21:30:00;126.0
2015-01-26 21:45:00;98.0
2015-01-26 22:00:00;90.0
2015-01-26 22:15:00;80.0
2015-01-26 22:30:00;88.0
2015-01-26 22:45:00;122.0
2015-01-26 23:00:00;118.0
2015-01-26 23:15:00;102.0
2015-01-26 23:30:00;126.0
2015-01-26 23:45:00;88.0
2015-01-27 00:00:00;126.0
2015-01-27 00:15:00;106.0
2015-01-27 00:30:00;112.0
2015-01-27 00:45:00;90.0
2015-01-27 01:00:00;122.0
2015-01-27 01:15:00;106.0
2015-01-27 01:30:00;94.0
2015-01-27 01:45:00;100.0
2015-01-27 02:00:00;98.0
2015-01-27 02:15:00;90.0
2015-01-27 02:30:00;106.0
2015-01-27 02:45:00;112.0
2015-01-27 03:00:00;124.0
2015-01-27 03:15:00;118.0
2015-01-27 03:30:00;118.0
2015-01-27 03:45:00;74.0
2015-01-27 04:00:00;78.0
2015-01-27 04:15:00;98.0
2015-01-27 04:30:00;110.0
2015-01-27 04:45:00;128.0
2015-01-27 05:00:00;126.0
2015-01-27 05:15:00;120.0
2015-01-27 05:30:00;96.0
2015-01-27 05:45:00;72.0
2015-01-27 06:00:00;90.0
2015-01-27 06:15:00;96.0
2015-01-27 06:30:00;106.0
2015-01-27 06:45:00;122.0
2015-01-27 07:00:00;114.0
2015-01-27 07:15:00;118.0
2015-01-27 07:30:00;116.0
2015-01-27 07:45:00;122.0
2015-01-27 08:00:00;150.0
2015-01-27 08:15:00;146.0
2015-01-27 08:30:00;144.0
2015-01-27 08:45:00;164.0
2015-01-27 09:00:00;142.0
2015-01-27 09:15:00;154.0
2015-01-27 09:30:00;144.0
2015-01-27 09:45:00;142.0
2015-01-27 10:00:00;154.0
2015-01-27 10:15:00;142.0
2015-01-27 10:30:00;128.0
2015-01-27 10:45:00;180.0
2015-01-27 11:00:00;156.0
2015-01-27 11:15:00;166.0
2015-01-27 11:30:00;176.0
2015-01-27 11:45:00;122.0
2015-01-27 12:00:00;168.0
2015-01-27 12:15:00;178.0
2015-01-27 12:30:00;170.0
2015-01-27 12:45:00;176.0
2015-01-27 13:00:00;150.0
2015-01-27 13:15:00;148.0
2015-01-27 13:30:00;160.0
2015-01-27 13:45:00;168.0
2015-01-27 14:00:00;126.0
2015-01-27 14:15:00;168.0
2015-01-27 14:30:00;148.0
2015-01-27 14:45:00;134.0
2015-01-27 15:00:00;158.0
2015-01-27 15:15:00;124.0
2015-01-27 15:30:00;144.0
2015-01-27 15:45:00;122.0
2015-01-27 16:00:00;156.0
2015-01-27 16:15:00;110.0
2015-01-27 16:30:00;166.0
2015-01-27 16:45:00;150.0
2015-01-27 17:00:00;164.0
2015-01-27 17:15:00;166.0
2015-01-27 17:30:00;156.0
2015-01-27 17:45:00;162.0
2015-01-27 18:00:00;116.0
2015-01-27 18:15:00;110.0
2015-01-27 18:30:00;136.0
2015-01-27 18:45:00;114.0
2015-01-27 19:00:00;156.0
2015-01-27 19:15:00;174.0
2015-01-27 19:30:00;136.0
2015-01-27 19:45:00;176.0
2015-01-27 20:00:00;164.0
2015-01-27 20:15:00;162.0
2015-01-27 20:30:00;148.0
2015-01-27 20:45:00;150.0
2015-01-27 21:00:00;154.0
2015-01-27 21:15:00;156.0
2015-01-27 21:30:00;138.0
2015-01-27 21:45:00;144.0
2015-01-27 22:00:00;126.0
2015-01-27 22:15:00;124.0
2015-01-27 22:30:00;116.0
2015-01-27 22:45:00;162.0
2015-01-27 23:00:00;140.0
2015-01-27 23:15:00;120.0
2015-01-27 23:30:00;86.0
2015-01-27 23:45:00;114.0
2015-01-28 00:00:00;128.0
2015-01-28 00:15:00;122.0
2015-01-28 00:30:00;96.0
2015-01-28 00:45:00;130.0
2015-01-28 01:00:00;122.0
2015-01-28 01:15:00;108.0
2015-01-28 01:30:00;132.0
2015-01-28 01:45:00;132.0
2015-01-28 02:00:00;120.0
2015-01-28 02:15:00;110.0
